order,retention_index,quantmass,id,KEGG,PubChem,label
354,271210,146,382318,"","",X382318
355,588535,171,221571,"","",X221571
356,542386,245,666227,"","",X666227
357,624534,297,650967,"","",X650967
358,967207,188,644946,"","",X644946
359,480294,170,636835,"","",X636835
360,409445,219,537746,"","",X537746
361,918882,361,486017,"","",X486017
362,962157,204,480140,"","",X480140
363,549983,307,307915,"","",X307915
364,258250,143,300663,"","",X300663
365,593688,159,267937,"","",X267937
366,395684,103,636861,"","",X636861
367,924701,259,467949,"","",X467949
368,873684,446,213143,"","",X213143
369,757796,142,651283,"","",X651283
370,986353,326,367997,"","",X367997
371,521251,231,349922,"","",X349922
372,319899,156,339455,"","",X339455
373,659628,287,238549,"","",X238549
374,812061,361,234622,"","",X234622
375,775880,174,644900,"","",X644900
376,733355,305,485397,"","",X485397
377,854192,172,484307,"","",X484307
378,478631,159,438099,"","",X438099
379,837599,217,367950,"","",X367950
380,985904,297,349036,"","",X349036
381,825784,274,267749,"","",X267749
382,711908,174,218829,"","",X218829
